Star ID,Star Name,Water Removed,,Total estimated volume (L),,
FB,FIELD BLANK,60L,minus 600mL,59.4,,
I,TITAN,60L,,60,,
L,MLML #2,60L,,60,,
H,MLML #4,60L,minus 1L,59,,
E,SOYUZ,60L,,60,,
F,BIGBEE,60L,,60,,
A,PATRICK,60L,plus ~500mL,60.5,,
G,MLML #7,60L,,60,,
K,MLML #10,60L,minus ~500mL,59.5,,
B,MLML #18,60L,plus ~300mL,60.3,,
D,LUCI,60L,,60,,
J,UNCH 2,60L,minus ~750mL,59.25,,
C,UNCH 1,60L,plus ~300mL,60.3,,
,,,,,,
,,,,,,"Three 20L graduated buckets were filled with water from the aquaria. If water level was above than 20L graduation in the third bucket, water was removed with a beaker until water level was at the 20L mark and the volume of water removed was noted as ""minus xx mL."" If water level was below 20L graduation, water was added from a 1L beaker and the added volume was noted as ""plus ~xx mL."""
