Star ID,Date,Star Name,Size (cm),UPD. Size (mm),Total Weight (g),Water Weight (g),Star Weight (g),Notes
C,9/18/25,UNCH 1,2.79,28,1.17,0,1.17,
J,9/18/25,UNCH 2,2.93,31,1.51,0.3,1.21,
D,9/18/25,LUCI,5.59,55,5.63,0.46,5.17,
B,9/18/25,MLML #18,13.58,144,15.93,0.6,15.33,
K,9/18/25,MLML #10,8.44,86,17.47,0.99,16.48,unsure if water weight was heard correctly
G,9/18/25,MLML #7,10.23,112,24.79,1.13,23.66,
A,9/18/25,PATRICK,10.78,113,36.87,1.02,35.85,
F,9/18/25,BIGBEE,11.8,121,48.72,0.59,48.13,
E,9/18/25,SOYUZ,13.18,142,50.08,0.86,49.22,stress bubbles release once moved back to OG tubs
H,9/18/25,MLML #4,11.43,127,63.28,1,62.28,
L,9/18/25,MLML #2,13,143,86.5,2.13,84.37,
I,9/18/25,TITAN,18.6,186,195.35,3.3,192.05,stress bubbles release once moved back to OG tubs
