Date,Sampling Start,Time Point,Condition,Replicate,Sample Identifier,Extraction Set,Extraction Number,Extract Storage Number,Extraction Date ,Extract Storage Box Name,Extract Storage Box Number,Archive Storage Box,Extract Storage Location,Archive Storage Location
17-Aug-25,NA,NA,NA,NA,SB W 0 m,MMS-2,1,3007,3-Jan-26,Shedding/Decay,1,1A,5B,5B
15-Sep-25,18:00,D-9,Light,C,D-9-Light-C,MMS-2,2,3008,3-Jan-26,Shedding/Decay,1,1A,6B,6B
15-Sep-25,12:00,D-3,Light,B,D-3-Light-B,MMS-2,3,3009,3-Jan-26,Shedding/Decay,1,1A,7B,7B
17-Sep-25,9:00,D-48,Light,FB,D-48-Light-FB,MMS-2,4,3010,3-Jan-26,Shedding/Decay,1,1A,8B,8B
15-Sep-25,21:00,D-12,Dark,C,D-12-Dark-C,MMS-2,5,3011,3-Jan-26,Shedding/Decay,1,1A,9B,9B
15-Sep-25,21:00,D-12,Light,D,D-12-Light-D,MMS-2,6,3012,3-Jan-26,Shedding/Decay,1,1A,1C,1C
15-Sep-25,18:00,D-9,Light,E,D-9-Light-E,MMS-2,7,3013,3-Jan-26,Shedding/Decay,1,1A,2C,2C
15-Sep-25,9:00,D-0,Light,D,D-0-Light-D,MMS-2,8,3014,3-Jan-26,Shedding/Decay,1,1A,3C,3C
16-Sep-25,9:00,D-24,Dark,FB,D-24-Dark-FB,MMS-2,9,3015,3-Jan-26,Shedding/Decay,1,1A,4C,4C
15-Sep-25,10:00,D-1,Dark,C,D-1-Dark-C,MMS-2,10,3016,3-Jan-26,Shedding/Decay,1,1A,5C,5C
15-Sep-25,12:00,D-3,Light,E,D-3-Light-E,MMS-2,11,3017,3-Jan-26,Shedding/Decay,1,1A,6C,6C
17-Sep-25,9:00,D-48,Dark,D,D-48-Dark-D,MMS-2,12,3018,3-Jan-26,Shedding/Decay,1,1A,7C,7C
15-Sep-25,12:00,D-3,Light,C,D-3-Light-C,MMS-2,13,3019,3-Jan-26,Shedding/Decay,1,1A,8C,8C
17-Sep-25,9:00,D-48,Light,E,D-48-Light-E,MMS-2,14,3020,3-Jan-26,Shedding/Decay,1,1A,9C,9C
17-Sep-25,9:00,D-48,Dark,E,D-48-Dark-E,MMS-2,15,3021,3-Jan-26,Shedding/Decay,1,1A,1D,1D
15-Sep-25,12:00,D-3,Dark,B,D-3-Dark-B,MMS-2,16,3022,3-Jan-26,Shedding/Decay,1,1A,2D,2D
19-Sep-25,9:00,D-96,Dark,E,D-96-Dark-E,MMS-2,17,3023,3-Jan-26,Shedding/Decay,1,1A,3D,3D
18-Sep-25,9:00,D-72,Light,E,D-72-Light-E,MMS-2,18,3024,3-Jan-26,Shedding/Decay,1,1A,4D,4D
18-Sep-25,9:00,D-72,Dark,FB,D-72-Dark-FB,MMS-2,19,3025,3-Jan-26,Shedding/Decay,1,1A,5D,5D
17-Sep-25,9:00,D-48,Dark,C,D-48-Dark-C,MMS-2,20,3026,3-Jan-26,Shedding/Decay,1,1A,6D,6D
15-Sep-25,21:00,D-12,Dark,D,D-12-Dark-D,MMS-2,21,3027,3-Jan-26,Shedding/Decay,1,1A,7D,7D
15-Sep-25,9:00,D-0,Dark,D,D-0-Dark-D,MMS-2,22,3028,3-Jan-26,Shedding/Decay,1,1A,8D,8D
NA,NA,NA,NA,NA,EB,MMS-2,23,3029,3-Jan-26,Shedding/Decay,1,1A,9D,9D
17-Sep-25,9:00,D-48,Light,A,D-48-Light-A,MMS-3,1,3030,5-Jan-26,Shedding/Decay,1,1A,1E,1E
15-Sep-25,21:00,D-12,Dark,A,D-12-Dark-A,MMS-3,2,3031,5-Jan-26,Shedding/Decay,1,1A,2E,2E
15-Sep-25,9:00,D-0,Dark,E,D-0-Dark-E,MMS-3,3,3032,5-Jan-26,Shedding/Decay,1,1A,3E,3E
15-Sep-25,15:00,D-6,Dark,C,D-6-Dark-C,MMS-3,4,3033,5-Jan-26,Shedding/Decay,1,1A,4E,4E
16-Sep-25,9:00,D-24,Light,B,D-24-Light-B,MMS-3,5,3034,5-Jan-26,Shedding/Decay,1,1A,5E,5E
18-Sep-25,9:00,D-72,Light,FB,D-72-Light-FB,MMS-3,6,3035,5-Jan-26,Shedding/Decay,1,1A,6E,6E
15-Sep-25,18:00,D-9,Dark,E,D-9-Dark-E,MMS-3,7,3036,5-Jan-26,Shedding/Decay,1,1A,7E,7E
15-Sep-25,15:00,D-6,Dark,E,D-6-Dark-E,MMS-3,8,3037,5-Jan-26,Shedding/Decay,1,1A,8E,8E
19-Sep-25,9:00,D-96,Dark,A,D-96-Dark-A,MMS-3,9,3038,5-Jan-26,Shedding/Decay,1,1A,9E,9E
16-Sep-25,9:00,D-24,Light,A,D-24-Light-A,MMS-3,10,3039,5-Jan-26,Shedding/Decay,1,1A,1F,1F
15-Sep-25,10:00,D-1,Dark,D,D-1-Dark-D,MMS-3,11,3040,5-Jan-26,Shedding/Decay,1,1A,2F,2F
15-Sep-25,9:00,D-0,,FB,D-0-FB,MMS-3,12,3041,5-Jan-26,Shedding/Decay,1,1A,3F,3F
15-Sep-25,18:00,D-9,Dark,A,D-9-Dark-A,MMS-3,13,3042,5-Jan-26,Shedding/Decay,1,1A,4F,4F
16-Sep-25,9:00,D-24,Dark,E,D-24-Dark-E,MMS-3,14,3043,5-Jan-26,Shedding/Decay,1,1A,5F,5F
15-Sep-25,15:00,D-6,Light,A,D-6-Light-A,MMS-3,15,3044,5-Jan-26,Shedding/Decay,1,1A,6F,6F
19-Sep-25,9:00,D-96,Light,C,D-96-Light-C,MMS-3,16,3045,5-Jan-26,Shedding/Decay,1,1A,7F,7F
15-Sep-25,18:00,D-9,Light,D,D-9-Light-D,MMS-3,17,3046,5-Jan-26,Shedding/Decay,1,1A,8F,8F
15-Sep-25,15:00,D-6,Light,D,D-6-Light-D,MMS-3,18,3047,5-Jan-26,Shedding/Decay,1,1A,9F,9F
15-Sep-25,21:00,D-12,Light,B,D-12-Light-B,MMS-3,19,3048,5-Jan-26,Shedding/Decay,1,1A,1G,1G
15-Sep-25,12:00,D-3,Dark,A,D-3-Dark-A,MMS-3,20,3049,5-Jan-26,Shedding/Decay,1,1A,2G,2G
15-Sep-25,18:00,D-9,Dark,B,D-9-Dark-B,MMS-3,21,3050,5-Jan-26,Shedding/Decay,1,1A,3G,3G
15-Sep-25,15:00,D-6,Dark,B,D-6-Dark-B,MMS-3,22,3051,5-Jan-26,Shedding/Decay,1,1A,4G,4G
NA,NA,NA,NA,NA,EB,MMS-3,23,3052,5-Jan-26,Shedding/Decay,1,1A,5G,5G
15-Sep-25,18:00,D-9,Light,B,D-9-Light-B,MMS-4,1,3053,8-Jan-26,Shedding/Decay,1,1A,6G,6G
18-Sep-25,9:00,D-72,Dark,B,D-72-Dark-B,MMS-4,2,3054,8-Jan-26,Shedding/Decay,1,1A,7G,7G
15-Sep-25,10:00,D-1,Light,E,D-1-Light-E,MMS-4,3,3055,8-Jan-26,Shedding/Decay,1,1A,8G,8G
15-Sep-25,9:00,D-0,Light,E,D-0-Light-E,MMS-4,4,3056,8-Jan-26,Shedding/Decay,1,1A,9G,9G
15-Sep-25,21:00,D-12,Dark,B,D-12-Dark-B,MMS-4,5,3057,8-Jan-26,Shedding/Decay,1,1A,1H,1H
15-Sep-25,9:00,D-0,Dark,A,D-0-Dark-A,MMS-4,6,3058,8-Jan-26,Shedding/Decay,1,1A,2H,2H
15-Sep-25,9:00,D-0,Light,C,D-0-Light-C,MMS-4,7,3059,8-Jan-26,Shedding/Decay,1,1A,3H,3H
19-Sep-25,9:00,D-96,Light,E,D-96-Light-E,MMS-4,8,3060,8-Jan-26,Shedding/Decay,1,1A,4H,4H
18-Sep-25,9:00,D-72,Dark,C,D-72-Dark-C,MMS-4,9,3061,8-Jan-26,Shedding/Decay,1,1A,5H,5H
16-Sep-25,9:00,D-24,Light,C,D-24-Light-C,MMS-4,10,3062,8-Jan-26,Shedding/Decay,1,1A,6H,6H
15-Sep-25,9:00,D-0,Dark,B,D-0-Dark-B,MMS-4,11,3063,8-Jan-26,Shedding/Decay,1,1A,7H,7H
15-Sep-25,15:00,D-6,Dark,A,D-6-Dark-A,MMS-4,12,3064,8-Jan-26,Shedding/Decay,1,1A,8H,8H
17-Sep-25,9:00,D-48,Dark,B,D-48-Dark-B,MMS-4,13,3065,8-Jan-26,Shedding/Decay,1,1A,9H,9H
17-Sep-25,9:00,D-48,Dark,FB,D-48-Dark-FB,MMS-4,14,3066,8-Jan-26,Shedding/Decay,1,1A,1I,1I
15-Sep-25,12:00,D-3,Dark,E,D-3-Dark-E,MMS-4,15,3067,8-Jan-26,Shedding/Decay,1,1A,2I,2I
18-Sep-25,9:00,D-72,Dark,D,D-72-Dark-D,MMS-4,16,3068,8-Jan-26,Shedding/Decay,1,1A,3I,3I
19-Sep-25,9:00,D-96,Light,D,D-96-Light-D,MMS-4,17,3069,8-Jan-26,Shedding/Decay,1,1A,4I,4I
19-Sep-25,9:00,D-96,Dark,D,D-96-Dark-D,MMS-4,18,3070,8-Jan-26,Shedding/Decay,1,1A,5I,5I
16-Sep-25,9:00,D-24,Light,FB,D-24-Light-FB,MMS-4,19,3071,8-Jan-26,Shedding/Decay,1,1A,6I,6I
15-Sep-25,21:00,D-12,Light,E,D-12-Light-E,MMS-4,20,3072,8-Jan-26,Shedding/Decay,1,1A,7I,7I
15-Sep-25,9:00,D-0,Light,B,D-0-Light-B,MMS-4,21,3073,8-Jan-26,Shedding/Decay,1,1A,8I,8I
18-Sep-25,9:00,D-72,Light,B,D-72-Light-B,MMS-4,22,3074,8-Jan-26,Shedding/Decay,1,1A,9I,9I
NA,NA,NA,NA,NA,EB,MMS-4,23,3075,8-Jan-26,Shedding/Decay,2,2A,1A,1A
18-Sep-25,9:00,D-72,Light,A,D-72-Light-A,MMS-5,1,3076,12-Jan-26,Shedding/Decay,2,2A,2A,2A
15-Sep-25,21:00,D-12,Light,A,D-12-Light-A,MMS-5,2,3077,12-Jan-26,Shedding/Decay,2,2A,3A,3A
16-Sep-25,9:00,D-24,Light,E,D-24-Light-E,MMS-5,3,3078,12-Jan-26,Shedding/Decay,2,2A,4A,4A
15-Sep-25,12:00,D-3,Light,A,D-3-Light-A,MMS-5,4,3079,12-Jan-26,Shedding/Decay,2,2A,5A,5A
15-Sep-25,10:00,D-1,Light,B,D-1-Light-B,MMS-5,5,3080,12-Jan-26,Shedding/Decay,2,2A,6A,6A
19-Sep-25,9:00,D-96,Dark,C,D-96-Dark-C,MMS-5,6,3081,12-Jan-26,Shedding/Decay,2,2A,7A,7A
15-Sep-25,10:00,D-1,Light,A,D-1-Light-A,MMS-5,7,3082,12-Jan-26,Shedding/Decay,2,2A,8A,8A
18-Sep-25,9:00,D-72,Light,D,D-72-Light-D,MMS-5,8,3083,12-Jan-26,Shedding/Decay,2,2A,9A,9A
15-Sep-25,12:00,D-3,Light,D,D-3-Light-D,MMS-5,9,3084,12-Jan-26,Shedding/Decay,2,2A,1B,1B
19-Sep-25,9:00,D-96,Dark,FB,D-96-Dark-FB,MMS-5,10,3085,12-Jan-26,Shedding/Decay,2,2A,2B,2B
15-Sep-25,10:00,D-1,Dark,A,D-1-Dark-A,MMS-5,11,3086,12-Jan-26,Shedding/Decay,2,2A,3B,3B
15-Sep-25,10:00,D-1,Light,D,D-1-Light-D,MMS-5,12,3087,12-Jan-26,Shedding/Decay,2,2A,4B,4B
15-Sep-25,15:00,D-6,Dark,D,D-6-Dark-D,MMS-5,13,3088,12-Jan-26,Shedding/Decay,2,2A,5B,5B
18-Sep-25,9:00,D-72,Light,C,D-72-Light-C,MMS-5,14,3089,12-Jan-26,Shedding/Decay,2,2A,6B,6B
15-Sep-25,9:00,D-0,Light,A,D-0-Light-A,MMS-5,15,3090,12-Jan-26,Shedding/Decay,2,2A,7B,7B
15-Sep-25,12:00,D-3,Dark,C,D-3-Dark-C,MMS-5,16,3091,12-Jan-26,Shedding/Decay,2,2A,8B,8B
15-Sep-25,21:00,D-12,Light,C,D-12-Light-C,MMS-5,17,3092,12-Jan-26,Shedding/Decay,2,2A,9B,9B
15-Sep-25,21:00,D-12,Dark,E,D-12-Dark-E,MMS-5,18,3093,12-Jan-26,Shedding/Decay,2,2A,1C,1C
16-Sep-25,9:00,D-24,Dark,B,D-24-Dark-B,MMS-5,19,3094,12-Jan-26,Shedding/Decay,2,2A,2C,2C
16-Sep-25,9:00,D-24,Light,D,D-24-Light-D,MMS-5,20,3095,12-Jan-26,Shedding/Decay,2,2A,3C,3C
15-Sep-25,18:00,D-9,Dark,C,D-9-Dark-C,MMS-5,21,3096,12-Jan-26,Shedding/Decay,2,2A,4C,4C
16-Sep-25,9:00,D-24,Dark,D,D-24-Dark-D,MMS-5,22,3097,12-Jan-26,Shedding/Decay,2,2A,5C,5C
NA,NA,NA,NA,NA,EB,MMS-5,23,3098,12-Jan-26,Shedding/Decay,2,2A,6C,6C
15-Sep-25,10:00,D-1,Dark,E,D-1-Dark-E,MMS-6,1,3099,14-Jan-26,Shedding/Decay,2,2A,7C,7C
17-Sep-25,9:00,D-48,Light,D,D-48-Light-D,MMS-6,2,3100,14-Jan-26,Shedding/Decay,2,2A,8C,8C
19-Sep-25,9:00,D-96,Light,B,D-96-Light-B,MMS-6,3,3101,14-Jan-26,Shedding/Decay,2,2A,9C,9C
19-Sep-25,9:00,D-96,Dark,B,D-96-Dark-B,MMS-6,4,3102,14-Jan-26,Shedding/Decay,2,2A,1D,1D
15-Sep-25,12:00,D-3,Dark,D,D-3-Dark-D,MMS-6,5,3103,14-Jan-26,Shedding/Decay,2,2A,2D,2D
17-Sep-25,9:00,D-48,Light,C,D-48-Light-C,MMS-6,6,3104,14-Jan-26,Shedding/Decay,2,2A,3D,3D
15-Sep-25,9:00,D-0,Dark,C,D-0-Dark-C,MMS-6,7,3105,14-Jan-26,Shedding/Decay,2,2A,4D,4D
19-Sep-25,9:00,D-96,Light,A,D-96-Light-A,MMS-6,8,3106,14-Jan-26,Shedding/Decay,2,2A,5D,5D
15-Sep-25,10:00,D-1,Dark,B,D-1-Dark-B,MMS-6,9,3107,14-Jan-26,Shedding/Decay,2,2A,6D,6D
15-Sep-25,15:00,D-6,Light,C,D-6-Light-C,MMS-6,10,3108,14-Jan-26,Shedding/Decay,2,2A,7D,7D
18-Sep-25,9:00,D-72,Dark,A,D-72-Dark-A,MMS-6,11,3109,14-Jan-26,Shedding/Decay,2,2A,8D,8D
19-Sep-25,9:00,D-96,Light,FB,D-96-Light-FB,MMS-6,12,3110,14-Jan-26,Shedding/Decay,2,2A,9D,9D
17-Sep-25,9:00,D-48,Light,B,D-48-Light-B,MMS-6,13,3111,14-Jan-26,Shedding/Decay,2,2A,1E,1E
17-Sep-25,9:00,D-48,Dark,A,D-48-Dark-A,MMS-6,14,3112,14-Jan-26,Shedding/Decay,2,2A,2E,2E
15-Sep-25,10:00,D-1,Light,C,D-1-Light-C,MMS-6,15,3113,14-Jan-26,Shedding/Decay,2,2A,3E,3E
16-Sep-25,9:00,D-24,Dark,C,D-24-Dark-C,MMS-6,16,3114,14-Jan-26,Shedding/Decay,2,2A,4E,4E
18-Sep-25,9:00,D-72,Dark,E,D-72-Dark-E,MMS-6,17,3115,14-Jan-26,Shedding/Decay,2,2A,5E,5E
15-Sep-25,15:00,D-6,Light,E,D-6-Light-E,MMS-6,18,3116,14-Jan-26,Shedding/Decay,2,2A,6E,6E
15-Sep-25,18:00,D-9,Light,A,D-9-Light-A,MMS-6,19,3117,14-Jan-26,Shedding/Decay,2,2A,7E,7E
16-Sep-25,9:00,D-24,Dark,A,D-24-Dark-A,MMS-6,20,3118,14-Jan-26,Shedding/Decay,2,2A,8E,8E
15-Sep-25,18:00,D-9,Dark,D,D-9-Dark-D,MMS-6,21,3119,14-Jan-26,Shedding/Decay,2,2A,9E,9E
15-Sep-25,15:00,D-6,Light,B,D-6-Light-B,MMS-6,22,3120,14-Jan-26,Shedding/Decay,2,2A,1F,1F
NA,NA,NA,NA,NA,EB,MMS-6,23,3121,14-Jan-26,Shedding/Decay,2,2A,MISSING,2F
15-Sep-25,15:25,S-0,A,NA,S-0-A,MMS-7,1,3122,19-Jan-26,Shedding/Decay,2,2A,3F,3F
18-Sep-25,16:00,S-72,A,NA,S-72-A,MMS-7,2,3123,19-Jan-26,Shedding/Decay,2,2A,4F,4F
18-Sep-25,13:00,S-69,D,NA,S-69-D,MMS-7,3,3124,19-Jan-26,Shedding/Decay,2,2A,5F,5F
15-Sep-25,15:25,S-0,E,NA,S-0-E,MMS-7,4,3125,19-Jan-26,Shedding/Decay,2,2A,6F,6F
17-Sep-25,16:00,S-48,L,NA,S-48-L,MMS-7,5,3126,19-Jan-26,Shedding/Decay,2,2A,7F,7F
18-Sep-25,16:00,S-72,K,NA,S-72-K,MMS-7,6,3127,19-Jan-26,Shedding/Decay,2,2A,8F,8F
15-Sep-25,17:00,S-1,D,NA,S-1-D,MMS-7,7,3128,19-Jan-26,Shedding/Decay,2,2A,9F,9F
18-Sep-25,16:00,S-72,J,NA,S-72-J,MMS-7,8,3129,19-Jan-26,Shedding/Decay,2,2A,1G,1G
18-Sep-25,10:00,S-66,FB,NA,S-66-FB,MMS-7,9,3130,19-Jan-26,Shedding/Decay,2,2A,2G,2G
17-Sep-25,16:00,S-48,A,NA,S-48-A,MMS-7,10,3131,19-Jan-26,Shedding/Decay,2,2A,3G,3G
18-Sep-25,16:00,S-72,G,NA,S-72-G,MMS-7,11,3132,19-Jan-26,Shedding/Decay,2,2A,4G,4G
17-Sep-25,16:00,S-48,B,NA,S-48-B,MMS-7,12,3133,19-Jan-26,Shedding/Decay,2,2A,5G,5G
18-Sep-25,13:00,S-69,K,NA,S-69-K,MMS-7,13,3134,19-Jan-26,Shedding/Decay,2,2A,6G,6G
15-Sep-25,15:25,S-0,J,NA,S-0-J,MMS-7,14,3135,19-Jan-26,Shedding/Decay,2,2A,7G,7G
15-Sep-25,15:25,S-0,G,NA,S-0-G,MMS-7,15,3136,19-Jan-26,Shedding/Decay,2,2A,8G,8G
16-Sep-25,16:00,S-24,C,NA,S-24-C,MMS-7,16,3137,19-Jan-26,Shedding/Decay,2,2A,9G,9G
16-Sep-25,16:00,S-24,D,NA,S-24-D,MMS-7,17,3138,19-Jan-26,Shedding/Decay,2,2A,1H,1H
17-Sep-25,16:00,S-48,K,NA,S-48-K,MMS-7,18,3139,19-Jan-26,Shedding/Decay,2,2A,2H,2H
18-Sep-25,10:00,S-66,H,NA,S-66-H,MMS-7,19,3140,19-Jan-26,Shedding/Decay,2,2A,3H,3H
15-Sep-25,15:25,S-0,H,NA,S-0-H,MMS-7,20,3141,19-Jan-26,Shedding/Decay,2,2A,4H,4H
15-Sep-25,17:00,S-1,F,NA,S-1-F,MMS-7,21,3142,19-Jan-26,Shedding/Decay,2,2A,5H,5H
17-Sep-25,16:00,S-48,H,NA,S-48-H,MMS-7,22,3143,19-Jan-26,Shedding/Decay,2,2A,6H,6H
NA,NA,NA,NA,NA,EB,MMS-7,23,3144,19-Jan-26,Shedding/Decay,2,2A,7H,7H
18-Sep-25,13:00,S-69,H,NA,S-69-H,MMS-8,1,3145,21-Jan-26,Shedding/Decay,2,2A,8H,8H
16-Sep-25,16:00,S-24,J,NA,S-24-J,MMS-8,2,3146,21-Jan-26,Shedding/Decay,2,2A,9H,9H
18-Sep-25,16:00,S-72,H,NA,S-72-H,MMS-8,3,3147,21-Jan-26,Shedding/Decay,2,2A,1I,1I
18-Sep-25,16:00,S-72,L,NA,S-72-L,MMS-8,4,3148,21-Jan-26,Shedding/Decay,2,2A,2I,2I
18-Sep-25,13:00,S-69,C,NA,S-69-C,MMS-8,5,3149,21-Jan-26,Shedding/Decay,2,2A,3I,3I
15-Sep-25,15:25,S-0,B,NA,S-0-B,MMS-8,6,3150,21-Jan-26,Shedding/Decay,2,2A,4I,4I
15-Sep-25,17:00,S-1,J,NA,S-1-J,MMS-8,7,3151,21-Jan-26,Shedding/Decay,2,2A,5I,5I
15-Sep-25,15:25,S-0,C,NA,S-0-C,MMS-8,8,3152,21-Jan-26,Shedding/Decay,2,2A,6I,6I
18-Sep-25,13:00,S-69,B,NA,S-69-B,MMS-8,9,3153,21-Jan-26,Shedding/Decay,2,2A,7I,7I
18-Sep-25,10:00,S-66,E,NA,S-66-E,MMS-8,10,3154,21-Jan-26,Shedding/Decay,2,2A,8I,8I
15-Sep-25,15:25,S-0,K,NA,S-0-K,MMS-8,11,3155,21-Jan-26,Shedding/Decay,2,2A,9I,9I
18-Sep-25,13:00,S-69,E,NA,S-69-E,MMS-8,12,3156,21-Jan-26,Shedding/Decay,3,3A,1A,1A
17-Sep-25,16:00,S-48,I,NA,S-48-I,MMS-8,13,3157,21-Jan-26,Shedding/Decay,3,3A,2A,2A
18-Sep-25,10:00,S-66,G,NA,S-66-G,MMS-8,14,3158,21-Jan-26,Shedding/Decay,3,3A,3A,3A
15-Sep-25,17:00,S-1,G,NA,S-1-G,MMS-8,15,3159,21-Jan-26,Shedding/Decay,3,3A,4A,4A
18-Sep-25,10:00,S-66,L,NA,S-66-L,MMS-8,16,3160,21-Jan-26,Shedding/Decay,3,3A,5A,5A
17-Sep-25,16:00,S-48,FB,NA,S-48-FB,MMS-8,17,3161,21-Jan-26,Shedding/Decay,3,3A,6A,6A
16-Sep-25,16:00,S-24,B,NA,S-24-B,MMS-8,18,3162,21-Jan-26,Shedding/Decay,3,3A,7A,7A
15-Sep-25,15:25,S-0,D,NA,S-0-D,MMS-8,19,3163,21-Jan-26,Shedding/Decay,3,3A,8A,8A
16-Sep-25,16:00,S-24,H,NA,S-24-H,MMS-8,20,3164,21-Jan-26,Shedding/Decay,3,3A,9A,9A
15-Sep-25,17:00,S-1,E,NA,S-1-E,MMS-8,21,3165,21-Jan-26,Shedding/Decay,3,3A,1B,1B
18-Sep-25,13:00,S-69,L,NA,S-69-L,MMS-8,22,3166,21-Jan-26,Shedding/Decay,3,3A,2B,2B
NA,NA,NA,NA,NA,EB,MMS-8,23,3167,21-Jan-26,Shedding/Decay,3,3A,3B,3B
18-Sep-25,13:00,S-69,I,NA,S-69-I,MMS-9,1,3168,26-Jan-26,Shedding/Decay,3,3A,4B,4B
15-Sep-25,17:00,S-1,I,NA,S-1-I,MMS-9,2,3169,26-Jan-26,Shedding/Decay,3,3A,5B,5B
16-Sep-25,16:00,S-24,I,NA,S-24-I,MMS-9,3,3170,26-Jan-26,Shedding/Decay,3,3A,6B,6B
16-Sep-25,16:00,S-24,F,NA,S-24-F,MMS-9,4,3171,26-Jan-26,Shedding/Decay,3,3A,7B,7B
18-Sep-25,16:00,S-72,B,NA,S-72-B,MMS-9,5,3172,26-Jan-26,Shedding/Decay,3,3A,8B,8B
15-Sep-25,17:00,S-1,L,NA,S-1-L,MMS-9,6,3173,26-Jan-26,Shedding/Decay,3,3A,9B,9B
16-Sep-25,16:00,S-24,L,NA,S-24-L,MMS-9,7,3174,26-Jan-26,Shedding/Decay,3,3A,1C,1C
17-Sep-25,16:00,S-48,J,NA,S-48-J,MMS-9,8,3175,26-Jan-26,Shedding/Decay,3,3A,2C,2C
15-Sep-25,17:00,S-1,A,NA,S-1-A,MMS-9,9,3176,26-Jan-26,Shedding/Decay,3,3A,3C,3C
15-Sep-25,17:00,S-1,H,NA,S-1-H,MMS-9,10,3177,26-Jan-26,Shedding/Decay,3,3A,4C,4C
17-Sep-25,16:00,S-48,G,NA,S-48-G,MMS-9,11,3178,26-Jan-26,Shedding/Decay,3,3A,5C,5C
18-Sep-25,16:00,S-72,D,NA,S-72-D,MMS-9,12,3179,26-Jan-26,Shedding/Decay,3,3A,6C,6C
18-Sep-25,10:00,S-66,J,NA,S-66-J,MMS-9,13,3180,26-Jan-26,Shedding/Decay,3,3A,7C,7C
17-Sep-25,16:00,S-48,F,NA,S-48-F,MMS-9,14,3181,26-Jan-26,Shedding/Decay,3,3A,8C,8C
