Wavelength (nm),Abs,
800.0036621,0.000710166,
798.9985962,0.001688766,
797.9932861,0.002246724,
796.9875488,0.000657769,
796.0160522,0.002123432,
795.0093994,0.001119976,
794.0025024,0.002831714,
792.9951782,0.002296295,
791.9873047,0.002396522,
791.013916,0.001760782,
790.0053101,0.002344857,
788.9963989,0.003882361,
787.9870605,0.003108484,
787.012085,0.001582337,
786.0018921,0.00280183,
784.991333,0.003257849,
784.0152588,0.003135,
783.0039673,0.002266812,
781.9921875,0.004366789,
781.0150146,0.003082021,
780.0025024,0.003623422,
778.989624,0.002759339,
778.0112915,0.003707534,
776.9975586,0.003344707,
775.9834595,0.002927296,
775.0040283,0.003481107,
773.9891968,0.003460571,
773.0089111,0.003367638,
771.9934082,0.003442463,
771.0123901,0.003454726,
769.9959717,0.004704302,
769.0142822,0.003860214,
767.9971924,0.003725496,
767.0147095,0.003441497,
765.9968262,0.003780773,
765.0136719,0.003822267,
763.9949951,0.004543059,
763.0110474,0.003398291,
761.9916382,0.003770458,
761.006897,0.003722546,
759.9867554,0.004218191,
759.0014038,0.003870791,
758.015625,0.003234508,
756.9943237,0.003812787,
756.0078735,0.003257197,
754.9857788,0.002641969,
753.9986572,0.003017372,
753.0110474,0.003491492,
751.987854,0.002199786,
750.9996338,0.002517835,
750.0109863,0.002160918,
748.9866333,0.003309179,
747.9973145,0.001844195,
747.0076294,0.001758521,
746.0175781,0.001494844,
744.9917603,0.00235912,
744.0009766,0.002540566,
743.0098877,0.001131343,
741.9829712,0.000860188,
740.9911499,0.001631313,
739.9989624,-5.50E-05,
739.0064087,0.000138072,
738.0135498,-0.000538922,
736.9848022,-0.000696447,
735.9912109,-0.001888257,
734.9972534,-0.001722862,
734.0029907,-0.002525481,
733.0083618,-0.004470611,
732.0133667,-0.004368321,
730.9824829,-0.004873082,
729.9868164,-0.005647064,
728.9907837,-0.006336357,
727.9943848,-0.007120114,
726.9976807,-0.007477089,
726.0005493,-0.008896787,
725.0032349,-0.008050424,
724.0054932,-0.008519758,
723.0073853,-0.00879528,
722.0089111,-0.009493629,
721.0101929,-0.01055967,
720.0110474,-0.010917212,
719.0116577,-0.010752442,
718.0118408,-0.01066622,
717.0117188,-0.011656868,
716.0111694,-0.011694516,
715.010376,-0.011456328,
714.0092163,-0.011252012,
713.0078125,-0.011272443,
712.0059814,-0.011129911,
711.0037842,-0.010732644,
710.0013428,-0.011018729,
708.9984741,-0.010485083,
707.9953003,-0.008749972,
706.9918823,-0.008459595,
705.9880371,-0.008055506,
704.9838867,-0.007826347,
704.0152588,-0.006025726,
703.010376,-0.005526955,
702.0053101,-0.005545152,
700.9997559,-0.004656989,
699.9939575,-0.003321688,
698.987793,-0.002185635,
698.0172729,-0.001478159,
697.010498,-0.000624335,
696.003418,-0.000243777,
694.9959717,0.001041216,
693.9880981,0.002365028,
693.0160522,0.002646214,
692.0076904,0.004115243,
