Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-
M01,3053,,,,1,1315.621704,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1369.915161,1262.722656,1334.71936,1296.809814,31235,20260,10975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A01, A02",1343.66394,1288.973877,1325.329102,1305.98877,,,,,,,,,,,,,FALSE,0,0,0,0
M02,3061,,,,1,101.3185349,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,105.1344223,97.51416779,105.1344223,97.51416779,35121,2718,32403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A03, A04",103.2639694,99.37609863,103.2639694,99.37609863,,,,,,,,,,,,,FALSE,0,0,0,0
M03,3069,,,,1,118.2166901,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,130.199234,106.115097,122.5515823,113.896698,31984,2869,29115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A05, A06",124.3010788,112.0132523,120.426506,116.0107574,,,,,,,,,,,,,FALSE,0,0,0,0
M04,3054,,,,1,985.4975586,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1017.276855,952.8892822,1000.493347,970.6784668,32525,17667,14858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B01, B02",1001.508484,968.6576538,993.1260986,977.9150391,,,,,,,,,,,,,FALSE,0,0,0,0
M05,3062,,,,1,1378.857544,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1441.860962,1316.416016,1397.80542,1360.19104,34249,22805,11444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B03, B04",1411.139771,1347.137207,1388.489136,1369.299194,,,,,,,,,,,,,FALSE,0,0,0,0
M06,3070,,,,1,63.17922211,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,68.19258118,58.26547241,65.81935883,60.54460526,45012,2205,42807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B05, B06",65.76145172,60.69660187,64.52553558,61.83433914,,,,,,,,,,,,,FALSE,0,0,0,0
M07,3055,,,,1,1080.918945,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1112.139648,1049.077148,1096.446045,1065.581055,34753,20037,14716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C01, C02",1096.695801,1064.520996,1088.817017,1073.070068,,,,,,,,,,,,,FALSE,0,0,0,0
M08,3063,,,,1,1284.683716,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1307.471191,1262.168823,1302.057495,1267.546509,36277,23213,13064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C03, C04",1296.376709,1273.263306,1293.517944,1275.911133,,,,,,,,,,,,,FALSE,0,0,0,0
M09,3071,,,,1,0,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,0.101782642,0,0.101782642,0,37027,0,37027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C05, C06",0.046507802,0,0.046507802,0,,,,,,,,,,,,,FALSE,0,0,0,0
M10,3056,,,,1,1063.835327,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1192.971924,945.5390015,1079.606323,1048.259644,32905,18781,14124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D01, D02",1132.376099,1006.134827,1071.857056,1055.864502,,,,,,,,,,,,,FALSE,0,0,0,0
M11,3064,,,,1,732.7000122,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,744.2501831,721.2550049,744.2501831,721.2550049,36349,16048,20301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D03, D04",738.5797119,726.8477173,738.5797119,726.8477173,,,,,,,,,,,,,FALSE,0,0,0,0
M12,3072,,,,1,444.4265747,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1482.469116,0,453.4971924,435.4208679,31534,9386,22148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D05, D06",1001.668335,5.6843418860808E-14,449.0462646,439.8237915,,,,,,,,,,,,,FALSE,0,0,0,0
M13,3057,,,,1,823.2598877,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,837.2548218,809.4188843,837.2548218,809.4188843,29001,13929,15072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"E01, E02",830.3806152,816.1791382,830.3806152,816.1791382,,,,,,,,,,,,,FALSE,0,0,0,0
M14,3065,,,,1,192.5785217,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,204.452179,181.2211761,198.0603943,187.1204376,33609,4771,28838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"E03, E04",198.7629547,186.9104004,195.3724213,189.7908173,,,,,,,,,,,,,FALSE,0,0,0,0
