Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-
M01,3008,,,,1,1192.84729003906,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1268.86413574219,1121.76733398438,1211.43286132813,1174.53234863281,28240,17300,10940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A01, A02",1232.84045410156,1157.791015625,1202.29541015625,1183.46960449219,,,,,,,,,,,,,False,0,0,0,0
M02,3165 1_5,,,,1,227.204940795898,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,233.180191040039,221.257934570313,233.180191040039,221.257934570313,33863,5596,28267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A03, A04",230.249984741211,224.167236328125,230.249984741211,224.167236328125,,,,,,,,,,,,,False,0,0,0,0
M03,3014,,,,1,1176.60119628906,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1193.2255859375,1160.19372558594,1193.2255859375,1160.19372558594,34503,20963,13540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B01, B02",1185.0556640625,1168.20336914063,1185.0556640625,1168.20336914063,,,,,,,,,,,,,False,0,0,0,0
M04,3168 1_5,,,,1,64.2097549438477,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,67.1323547363281,61.2939338684082,67.1323547363281,61.2939338684082,37355,1859,35496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B03, B04",65.7000274658203,62.721248626709,65.7000274658203,62.721248626709,,,,,,,,,,,,,False,0,0,0,0
M05,3036,,,,1,1005.99279785156,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,3555.20336914063,0,1020.86474609375,991.294494628906,34065,18755,15310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C01, C02",2497.1806640625,292.966461181641,1013.55853271484,998.47216796875,,,,,,,,,,,,,False,0,0,0,0
M06,3008 1_10,,,,1,132.085678100586,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,140.533966064453,121.993110656738,136.912033081055,127.277763366699,29002,2891,26111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C03, C04",135.993347167969,126.533729553223,134.545791625977,129.630355834961,,,,,,,,,,,,,False,0,0,0,0
M07,3165,,,,1,1117.41638183594,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,1134.33605957031,1101.08666992188,1132.92956542969,1102.09228515625,36593,21541,15052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D01, D02",1126.193359375,1109.22937011719,1125.30737304688,1109.57458496094,,,,,,,,,,,,,False,0,0,0,0
M08,3014 1_10,,,,1,116.416221618652,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,124.869041442871,108.108879089355,120.430213928223,112.414993286133,36698,3244,33454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D03, D04",120.764511108398,112.213409423828,118.462577819824,114.373184204102,,,,,,,,,,,,,False,0,0,0,0
M09,3168,,,,1,315.466766357422,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,323.224945068359,307.979248046875,322.310211181641,308.660369873047,37197,8251,28946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"E01, E02",319.491302490234,311.712890625,318.953674316406,311.989501953125,,,,,,,,,,,,,False,0,0,0,0
M10,3036 1_10,,,,1,280.427398681641,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,291.033477783203,269.803314208984,286.761169433594,274.125366210938,38031,7600,30431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"E03, E04",285.834259033203,275.002532958984,283.654937744141,277.208129882813,,,,,,,,,,,,,False,0,0,0,0
