Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-
M01,3199,,,,1,0,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,0.103144891560078,0,0.103144891560078,0,36538,0,36538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A03, A04",0.0471302419900894,0,0.0471302419900894,0,,,,,,,,,,,,,False,0,0,0,0
M02,3207,,,,1,400.149261474609,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,408.025604248047,392.321929931641,408.025604248047,392.321929931641,36927,10062,26865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A05, A06",404.161651611328,396.149627685547,404.161651611328,396.149627685547,,,,,,,,,,,,,False,0,0,0,0
M03,3200,,,,1,28.3381061553955,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,30.2044696807861,26.4745082855225,30.2044696807861,26.4745082855225,39817,887,38930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B03, B04",29.2899856567383,27.3869457244873,29.2899856567383,27.3869457244873,,,,,,,,,,,,,False,0,0,0,0
M04,3208,,,,1,0,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,0.0936065539717674,0,0.0936065539717674,0,40261,0,40261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B05, B06",0.0427719578146935,0,0.0427719578146935,0,,,,,,,,,,,,,False,0,0,0,0
M05,3201,,,,1,13.0768566131592,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,14.9924449920654,11.1564264297485,14.3574466705322,11.7975692749023,38773,401,38372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C03, C04",14.0530118942261,12.0958595275879,13.730055809021,12.4239959716797,,,,,,,,,,,,,False,0,0,0,0
M06,3209,,,,1,424.156311035156,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,437.87841796875,410.418579101563,432.22119140625,416.142822265625,37717,10796,26921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C05, C06",431.153564453125,417.143432617188,428.264587402344,420.061401367188,,,,,,,,,,,,,False,0,0,0,0
M07,3202,,,,1,452.455322265625,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,460.706939697266,444.257507324219,460.706939697266,444.257507324219,38899,11752,27147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D03, D04",456.658569335938,448.266082763672,456.658569335938,448.266082763672,,,,,,,,,,,,,False,0,0,0,0
M08,3210,,,,1,49.8464813232422,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,55.8826560974121,43.8284721374512,52.3879203796387,47.3101654052734,38118,1481,36637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D05, D06",52.9306106567383,46.780517578125,51.1424942016602,48.5517997741699,,,,,,,,,,,,,False,0,0,0,0
M09,3203,,,,1,144.319427490234,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,149.476440429688,139.193893432617,148.6611328125,139.992660522461,39337,4264,35073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"E03, E04",146.958267211914,141.712066650391,146.53271484375,142.11003112793,,,,,,,,,,,,,False,0,0,0,0
M10,3211,,,,1,17.3456764221191,,,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,,19.2994956970215,15.4451942443848,18.8068542480469,15.8861932754517,39576,542,39034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"E05, E06",18.3555850982666,16.3891048431396,18.0909633636475,16.600830078125,,,,,,,,,,,,,False,0,0,0,0
